Applicant_ID,Applicant_Name,Gender,University,Education_Level,CGPA,Experience_Years,Job_Applied,Company,Skills_Score,Interview_Score,Final_Decision,Selected
20,Jordan Bell,Female,RWTH Aachen University,Bachelors,3.18,4,NLP Engineer (Natural Language Processing),NVIDIA,55,67,Rejected,0
21,Victoria Scott,Male,RWTH Aachen University,Bachelors,3.56,2,Data Architect (AI Infrastructure),NVIDIA,59,57,Rejected,0
22,Natalie Hill,Female,University of Helsinki,Bachelors,3.48,1,AI Research Scientist,NVIDIA,67,73,Rejected,0
23,Avery Barnes,Male,Technical University of Munich,Masters,2.63,5,AI Ethics & Compliance Officer,NVIDIA,58,75,Rejected,0
24,Jonathan Lopez,Female,University of Sheffield,Bachelors,3.72,3,AI Ethics & Compliance Officer,NVIDIA,52,69,Rejected,0
25,Adam Hall,Male,University of Wisconsinâ€“Madison,Bachelors,2.97,0,Computer Vision Engineer,NVIDIA,70,92,Rejected,0
26,Christian Collins,Female,University of Florida,Bachelors,3.67,4,Reinforcement Learning Researcher,NVIDIA,54,84,Rejected,0
27,Ryan Clark,Female,New York University,Bachelors,2.32,1,Machine Learning Engineer,NVIDIA,91,86,Selected,1
28,Laura Martinez,Female,Stockholm University,Bachelors,2.8,0,AI Ethics & Compliance Officer,NVIDIA,60,93,Rejected,0
29,Sean Rogers,Male,Harvard University,Bachelors,3.29,4,Reinforcement Learning Researcher,NVIDIA,78,71,Rejected,0
30,Eric Walker,Male,University of Cambridge,Bachelors,3.62,3,AI Product Manager,NVIDIA,83,45,Selected,1
31,Isabella Cox,Female,University of Paris-Saclay,Bachelors,3.25,4,Machine Learning Engineer,NVIDIA,65,88,Rejected,0
32,Isabella Cox,Male,Aarhus University,Bachelors,2.77,3,AI Ethics & Compliance Officer,NVIDIA,94,51,Rejected,0
33,Kyle Reed,Female,University of Colorado Boulder,Bachelors,3.33,5,Reinforcement Learning Researcher,NVIDIA,57,89,Selected,1
34,Kevin Martinez,Female,University of Helsinki,Masters,3.82,2,AI Research Scientist,NVIDIA,57,73,Selected,1
35,Kevin Martinez,Male,University of Amsterdam,Masters,3.03,1,Deep Learning Specialist,NVIDIA,58,87,Selected,1
36,Adam Hall,Male,Pennsylvania State University,Bachelors,2.67,5,MLOps Engineer,NVIDIA,51,70,Rejected,0
37,Samantha Green,Male,University of Pennsylvania,Masters,2.88,4,Data Architect (AI Infrastructure),NVIDIA,57,67,Selected,1
38,Kyle Reed,Male,University of British Columbia,Bachelors,2.33,1,AI Research Scientist,NVIDIA,66,78,Rejected,0
39,Brian Robinson,Female,University of Illinois Urbana-Champaign,Masters,2.76,3,Computer Vision Engineer,NVIDIA,94,56,Selected,1
40,Christopher Moore,Male,University of Texas at Austin,Masters,3.27,0,Deep Learning Specialist,NVIDIA,89,65,Selected,1
41,Samuel Green,Male,University of Cambridge,Masters,2.45,0,Data Architect (AI Infrastructure),NVIDIA,61,50,Selected,1
42,James Anderson,Male,Massachusetts Institute of Technology,Bachelors,3.99,1,Deep Learning Specialist,NVIDIA,71,62,Selected,1
43,Patrick Hill,Female,Columbia University,Masters,2.64,4,Computer Vision Engineer,NVIDIA,64,85,Selected,1
44,Sean Rogers,Male,Sorbonne University,Masters,3.67,1,Data Architect (AI Infrastructure),NVIDIA,61,47,Selected,1
45,Daniel Carter,Female,Carnegie Mellon University,Bachelors,3.69,1,AI Ethics & Compliance Officer,NVIDIA,72,87,Selected,1
46,William Taylor,Male,London School of Economics,Bachelors,3.54,0,Deep Learning Specialist,NVIDIA,53,70,Rejected,0
47,Audrey Long,Female,University of the Witwatersrand,Bachelors,2.39,5,Deep Learning Specialist,NVIDIA,87,69,Rejected,0
48,Samantha Green,Female,Yale University,Masters,2.62,1,Machine Learning Engineer,NVIDIA,62,73,Selected,1
49,Christian Collins,Female,University of Queensland,Bachelors,2.91,1,Reinforcement Learning Researcher,NVIDIA,45,66,Selected,1
50,James Anderson,Female,University of New South Wales,Bachelors,2.45,2,Deep Learning Specialist,NVIDIA,50,54,Selected,1
51,Emily Bennett,Female,University of Bristol,Masters,2.44,5,Data Architect (AI Infrastructure),NVIDIA,78,93,Selected,1
52,Kyle Reed,Female,Michigan State University,Bachelors,3.53,4,Reinforcement Learning Researcher,NVIDIA,86,54,Selected,1
53,Penelope Jenkins,Male,California Institute of Technology,Bachelors,3.7,0,Machine Learning Engineer,NVIDIA,82,90,Selected,1
54,Isabella Cox,Male,University of Florida,Bachelors,2.91,5,Reinforcement Learning Researcher,NVIDIA,51,69,Rejected,0
55,Sean Rogers,Male,Leiden University,Bachelors,3.13,5,Data Architect (AI Infrastructure),NVIDIA,45,74,Rejected,0
56,Alexander Adams,Female,Stockholm University,Masters,3.74,3,AI Research Scientist,NVIDIA,60,91,Rejected,0
57,Jonathan Lopez,Male,ETH Zurich,Bachelors,2.79,2,Deep Learning Specialist,NVIDIA,47,84,Selected,1
58,Dylan Stewart,Male,Kingâ€™s College London,Masters,3.48,2,AI Research Scientist,NVIDIA,84,81,Selected,1
59,Aaron Edwards,Female,Heidelberg University,Masters,3.45,0,Reinforcement Learning Researcher,NVIDIA,63,90,Rejected,0
60,Anthony Jackson,Female,University of Edinburgh,Masters,3.96,3,NLP Engineer (Natural Language Processing),NVIDIA,75,46,Selected,1
61,Samantha Green,Male,University of St Andrews,Masters,3.29,0,AI Ethics & Compliance Officer,NVIDIA,54,92,Rejected,0
62,John Miller,Female,Ludwig Maximilian University of Munich,Masters,3.83,3,Deep Learning Specialist,NVIDIA,76,70,Selected,1
63,Lauren Wright,Male,Sorbonne University,Masters,3.01,2,MLOps Engineer,NVIDIA,69,65,Selected,1
64,Matthew Thomas,Female,Johns Hopkins University,Masters,3.51,4,AI Research Scientist,NVIDIA,92,63,Selected,1
65,Layla Powell,Female,Seoul National University,Bachelors,3.58,1,Deep Learning Specialist,NVIDIA,48,62,Selected,1
66,Jacob Turner,Male,McGill University,Masters,2.84,4,Reinforcement Learning Researcher,NVIDIA,94,68,Rejected,0
67,Ryan Clark,Female,University of Glasgow,Masters,2.44,0,Reinforcement Learning Researcher,NVIDIA,91,71,Rejected,0
68,Nora Perry,Female,University of Southern California,Masters,3.1,5,NLP Engineer (Natural Language Processing),NVIDIA,66,63,Selected,1
69,Adam Hall,Male,Monash University,Bachelors,3.25,4,Data Architect (AI Infrastructure),NVIDIA,70,52,Selected,1
70,Ryan Clark,Male,University of Minnesota,Bachelors,3.07,0,Computer Vision Engineer,NVIDIA,66,93,Selected,1
71,Mia Howard,Male,Tsinghua University,Bachelors,2.45,5,MLOps Engineer,NVIDIA,60,68,Selected,1
72,Christopher Moore,Female,Tohoku University,Masters,3.57,4,AI Ethics & Compliance Officer,NVIDIA,58,69,Selected,1
73,Benjamin Scott,Male,University of Southern California,Masters,3.16,1,MLOps Engineer,NVIDIA,85,95,Rejected,0
74,Jacob Turner,Female,Chinese University of Hong Kong,Masters,3.06,0,AI Research Scientist,NVIDIA,64,46,Selected,1
75,Samuel Green,Male,Hong Kong University of Science and Technology,Bachelors,3.75,4,AI Research Scientist,NVIDIA,73,60,Rejected,0
76,James Anderson,Male,Aalto University,Bachelors,3.4,1,AI Product Manager,NVIDIA,93,74,Selected,1
77,Zoey Coleman,Female,University College London,Bachelors,3.52,0,AI Research Scientist,NVIDIA,53,85,Selected,1
78,Emily Bennett,Male,University of Melbourne,Bachelors,3.9,4,Deep Learning Specialist,NVIDIA,57,69,Selected,1
79,Emily Davis,Male,Harvard University,Bachelors,3.93,3,Deep Learning Specialist,NVIDIA,86,60,Selected,1
80,Jessica Garcia,Male,University of Pennsylvania,Masters,2.63,2,NLP Engineer (Natural Language Processing),NVIDIA,88,86,Selected,1
81,Daniel Carter,Male,University College London,Bachelors,3.48,2,Reinforcement Learning Researcher,NVIDIA,90,71,Selected,1
82,Nicholas Wright,Male,University of California Los Angeles,Masters,3.14,1,Deep Learning Specialist,NVIDIA,57,64,Selected,1
83,Samuel Green,Female,Monash University,Masters,2.49,5,Machine Learning Engineer,NVIDIA,84,76,Rejected,0
84,Emily Bennett,Male,Pennsylvania State University,Masters,3.87,0,Machine Learning Engineer,NVIDIA,48,58,Selected,1
85,Mark White,Male,University of Sheffield,Masters,3.06,1,Computer Vision Engineer,NVIDIA,90,65,Rejected,0
86,Olivia Baker,Female,London School of Economics,Masters,3.57,3,Computer Vision Engineer,NVIDIA,47,64,Rejected,0
87,Kevin Martinez,Male,Carnegie Mellon University,Masters,2.43,2,Deep Learning Specialist,NVIDIA,50,67,Selected,1
88,Isaac Parker,Male,University of the Witwatersrand,Masters,2.38,2,Data Architect (AI Infrastructure),NVIDIA,75,57,Selected,1
89,Olivia Baker,Male,University of Chicago,Masters,3,0,Machine Learning Engineer,NVIDIA,85,94,Selected,1
90,Lauren Wright,Male,KTH Royal Institute of Technology,Masters,3.57,5,AI Ethics & Compliance Officer,NVIDIA,83,66,Selected,1
91,Zoey Coleman,Male,Polytechnic Institute of Paris,Bachelors,2.31,1,AI Research Scientist,NVIDIA,93,83,Rejected,0
92,Henry Phillips,Female,University of Cambridge,Bachelors,3.93,3,Computer Vision Engineer,NVIDIA,94,69,Rejected,0
93,Emily Davis,Female,Massachusetts Institute of Technology,Masters,2.82,3,AI Ethics & Compliance Officer,NVIDIA,89,94,Selected,1
94,Noah Perez,Male,Pennsylvania State University,Bachelors,3.17,3,Reinforcement Learning Researcher,NVIDIA,70,93,Selected,1
95,Laura Martinez,Male,University of Wisconsinâ€“Madison,Bachelors,2.57,0,MLOps Engineer,NVIDIA,72,51,Rejected,0
96,Caleb Evans,Male,Princeton University,Bachelors,3.95,2,Deep Learning Specialist,NVIDIA,56,59,Selected,1
97,Owen Campbell,Male,EPFL,Bachelors,2.76,1,NLP Engineer (Natural Language Processing),NVIDIA,61,92,Selected,1
98,Daniel Carter,Female,University of Colorado Boulder,Bachelors,3.8,4,Reinforcement Learning Researcher,NVIDIA,82,57,Selected,1
99,Andrew Thompson,Male,Ludwig Maximilian University of Munich,Masters,3.67,1,Data Architect (AI Infrastructure),NVIDIA,86,74,Rejected,0
100,Emily Bennett,Male,University of Tokyo,Bachelors,3.79,2,Reinforcement Learning Researcher,NVIDIA,59,52,Selected,1
101,John Miller,Male,University of Nottingham,Masters,3.33,1,Machine Learning Engineer,NVIDIA,94,94,Rejected,0
102,Nora Perry,Male,POSTECH,Bachelors,2.54,2,MLOps Engineer,NVIDIA,58,61,Selected,1
103,Zachary Morris,Female,Eindhoven University of Technology,Bachelors,2.61,3,AI Research Scientist,NVIDIA,64,49,Selected,1
104,Adam Hall,Female,University of Hong Kong,Masters,3.24,3,Deep Learning Specialist,NVIDIA,85,79,Selected,1
105,Victoria Scott,Female,University of St Andrews,Masters,3.01,0,AI Ethics & Compliance Officer,NVIDIA,48,64,Rejected,0
106,Henry Phillips,Male,University of Sheffield,Masters,2.96,0,AI Research Scientist,NVIDIA,70,58,Rejected,0
107,David Johnson,Male,Technion â€“ Israel Institute of Technology,Bachelors,3.8,5,MLOps Engineer,NVIDIA,74,94,Selected,1
108,Jason Lewis,Female,University of Wisconsinâ€“Madison,Masters,3.36,1,Reinforcement Learning Researcher,NVIDIA,68,92,Selected,1
109,Jonathan Lopez,Female,University of Leeds,Bachelors,2.48,0,Data Architect (AI Infrastructure),NVIDIA,76,93,Rejected,0
110,Scarlett Ross,Male,Australian National University,Bachelors,3.33,4,MLOps Engineer,NVIDIA,85,69,Selected,1
111,Ethan Mitchell,Male,University of Virginia,Masters,3.71,2,AI Research Scientist,NVIDIA,56,81,Selected,1
112,Claire Patterson,Male,Michigan State University,Masters,3.95,0,MLOps Engineer,NVIDIA,57,47,Rejected,0
113,Lucas Roberts,Female,Arizona State University,Bachelors,3.24,3,MLOps Engineer,NVIDIA,85,94,Selected,1
114,Scarlett Ross,Female,University of Edinburgh,Masters,3.06,1,Data Architect (AI Infrastructure),NVIDIA,73,56,Selected,1
115,Ethan Mitchell,Male,University of Sydney,Bachelors,3.63,1,AI Ethics & Compliance Officer,NVIDIA,74,56,Rejected,0
116,James Anderson,Male,University of the Witwatersrand,Bachelors,2.46,0,AI Ethics & Compliance Officer,NVIDIA,73,77,Rejected,0
117,Olivia Baker,Male,University of Adelaide,Bachelors,3.17,0,AI Product Manager,NVIDIA,48,93,Rejected,0
118,Nathan Sanchez,Female,Polytechnic Institute of Paris,Bachelors,3.69,5,NLP Engineer (Natural Language Processing),NVIDIA,57,53,Rejected,0
119,Avery Barnes,Female,University of California Berkeley,Masters,3.34,1,Deep Learning Specialist,NVIDIA,61,55,Selected,1
120,Elizabeth Young,Female,Yale University,Bachelors,2.65,1,Computer Vision Engineer,NVIDIA,61,84,Selected,1
121,Olivia Baker,Male,Technion â€“ Israel Institute of Technology,Masters,3.38,0,Reinforcement Learning Researcher,NVIDIA,62,88,Selected,1
122,Andrew Thompson,Female,Columbia University,Masters,3.76,5,AI Ethics & Compliance Officer,NVIDIA,73,80,Selected,1
123,Mark White,Female,Aalto University,Bachelors,3.98,1,AI Product Manager,NVIDIA,81,54,Selected,1
124,Lily Peterson,Female,University of Geneva,Bachelors,2.8,5,Machine Learning Engineer,NVIDIA,78,61,Selected,1
125,Samantha Green,Male,Eindhoven University of Technology,Bachelors,2.79,3,NLP Engineer (Natural Language Processing),NVIDIA,85,72,Selected,1
126,Amanda Walker,Male,University of Colorado Boulder,Masters,2.38,4,NLP Engineer (Natural Language Processing),NVIDIA,48,45,Selected,1
127,Christian Collins,Male,Weizmann Institute of Science,Bachelors,2.81,0,NLP Engineer (Natural Language Processing),NVIDIA,53,58,Selected,1
128,Audrey Long,Female,Stockholm University,Masters,3.07,2,Machine Learning Engineer,NVIDIA,49,85,Selected,1
129,Owen Campbell,Female,University of Pennsylvania,Bachelors,3.7,1,Machine Learning Engineer,NVIDIA,67,83,Selected,1
130,Christopher Moore,Male,Yale University,Bachelors,3.2,4,Reinforcement Learning Researcher,NVIDIA,70,56,Selected,1
131,Sean Rogers,Female,University of Edinburgh,Bachelors,2.54,4,Deep Learning Specialist,NVIDIA,57,78,Rejected,0
132,Jordan Bell,Male,University of California Berkeley,Masters,3.36,3,Data Architect (AI Infrastructure),NVIDIA,91,95,Selected,1
133,Laura Martinez,Male,University of Texas at Austin,Bachelors,3.41,0,AI Ethics & Compliance Officer,NVIDIA,56,59,Rejected,0
134,Zoey Coleman,Female,University of Vienna,Masters,3.9,2,NLP Engineer (Natural Language Processing),NVIDIA,61,90,Selected,1
135,Jonathan Lopez,Male,University of Illinois Urbana-Champaign,Masters,2.33,1,MLOps Engineer,NVIDIA,61,60,Rejected,0
136,Jordan Bell,Female,University of Otago,Masters,2.71,4,Machine Learning Engineer,NVIDIA,85,89,Rejected,0
137,Benjamin Scott,Female,University of Toronto,Bachelors,3.92,4,Computer Vision Engineer,NVIDIA,59,81,Rejected,0
138,Natalie Hill,Male,Ohio State University,Bachelors,2.35,0,Machine Learning Engineer,NVIDIA,51,84,Rejected,0
139,James Anderson,Male,Pennsylvania State University,Masters,3.39,1,Reinforcement Learning Researcher,NVIDIA,47,89,Selected,1
140,Andrew Thompson,Male,University of St Andrews,Bachelors,3.8,1,AI Research Scientist,NVIDIA,93,90,Rejected,0
141,Victoria Henderson,Female,Imperial College London,Masters,3.91,0,Computer Vision Engineer,NVIDIA,93,85,Selected,1
142,Laura Martinez,Male,Purdue University,Masters,3.4,2,Deep Learning Specialist,NVIDIA,63,65,Selected,1
143,Sean Rogers,Female,Columbia University,Masters,3.59,4,Machine Learning Engineer,NVIDIA,65,94,Rejected,0
144,William Taylor,Male,Weizmann Institute of Science,Bachelors,3.04,4,Deep Learning Specialist,NVIDIA,94,51,Selected,1
145,William Taylor,Male,University of Leeds,Masters,2.3,3,AI Research Scientist,NVIDIA,57,63,Rejected,0
146,Kyle Reed,Female,Imperial College London,Bachelors,3.65,2,NLP Engineer (Natural Language Processing),NVIDIA,56,76,Selected,1
147,Nathan Sanchez,Male,University of Copenhagen,Masters,3.15,2,AI Research Scientist,NVIDIA,52,85,Rejected,0
148,Penelope Jenkins,Male,Chinese University of Hong Kong,Masters,3.82,1,Deep Learning Specialist,NVIDIA,92,50,Selected,1
149,Victoria Henderson,Male,Aalto University,Masters,3.83,1,Reinforcement Learning Researcher,NVIDIA,77,55,Selected,1
150,Lily Peterson,Female,Pennsylvania State University,Bachelors,3.47,3,Reinforcement Learning Researcher,NVIDIA,83,86,Selected,1
151,Lily Peterson,Male,University of Zurich,Bachelors,2.59,2,Data Architect (AI Infrastructure),NVIDIA,73,89,Rejected,0
152,Scarlett Ross,Male,University of Sheffield,Bachelors,2.7,1,AI Ethics & Compliance Officer,NVIDIA,57,62,Selected,1
153,Laura Martinez,Male,Ohio State University,Bachelors,2.89,5,AI Research Scientist,NVIDIA,60,65,Rejected,0
154,Amanda Walker,Female,London School of Economics,Masters,2.56,1,AI Research Scientist,NVIDIA,54,95,Selected,1
155,Ethan Mitchell,Female,University of Birmingham,Bachelors,2.78,4,Deep Learning Specialist,NVIDIA,69,74,Selected,1
156,Sarah Thompson,Female,Stanford University,Masters,2.54,1,AI Product Manager,NVIDIA,83,92,Selected,1
157,Laura Martinez,Male,Technical University of Munich,Masters,2.61,1,MLOps Engineer,NVIDIA,52,74,Selected,1
158,Michael Brown,Female,KTH Royal Institute of Technology,Bachelors,3.37,5,AI Ethics & Compliance Officer,NVIDIA,61,72,Rejected,0
159,Grace Cooper,Male,University of Adelaide,Bachelors,2.96,5,NLP Engineer (Natural Language Processing),NVIDIA,76,51,Selected,1
160,Christian Collins,Male,University of Michigan,Masters,2.47,4,AI Ethics & Compliance Officer,NVIDIA,81,74,Selected,1
161,Kyle Reed,Male,Weizmann Institute of Science,Masters,3.91,5,Machine Learning Engineer,NVIDIA,58,88,Selected,1
162,Lucas Roberts,Female,Stockholm University,Masters,2.95,0,NLP Engineer (Natural Language Processing),NVIDIA,48,45,Selected,1
163,Daniel Carter,Female,Monash University,Bachelors,2.98,1,Computer Vision Engineer,NVIDIA,78,59,Rejected,0
164,Isabella Cox,Male,University of New South Wales,Bachelors,3.68,2,MLOps Engineer,NVIDIA,85,57,Rejected,0
165,Christian Collins,Female,Massachusetts Institute of Technology,Bachelors,3.59,2,MLOps Engineer,NVIDIA,86,53,Selected,1
166,Rachel Harris,Female,Technical University of Munich,Bachelors,3.97,5,Deep Learning Specialist,NVIDIA,88,56,Rejected,0
167,Samantha Green,Male,University of Adelaide,Masters,3.12,3,Machine Learning Engineer,NVIDIA,84,85,Selected,1
168,Natalie Hill,Male,University of Illinois Urbana-Champaign,Bachelors,3.84,1,AI Research Scientist,NVIDIA,95,53,Selected,1
169,Alexander Adams,Male,London School of Economics,Masters,2.73,2,Computer Vision Engineer,NVIDIA,51,82,Selected,1
170,Madison Wood,Male,University of St Andrews,Masters,3.65,1,Data Architect (AI Infrastructure),NVIDIA,55,84,Rejected,0
171,Joshua Garcia,Male,Heidelberg University,Masters,3.2,3,NLP Engineer (Natural Language Processing),NVIDIA,92,73,Rejected,0
172,Jason Lewis,Female,Pennsylvania State University,Bachelors,3.14,3,Computer Vision Engineer,NVIDIA,48,75,Selected,1
173,Aaron Edwards,Female,University of Illinois Urbana-Champaign,Masters,3.77,3,AI Ethics & Compliance Officer,NVIDIA,45,55,Rejected,0
174,Samantha Green,Male,University of Cape Town,Bachelors,4,4,Machine Learning Engineer,NVIDIA,88,49,Selected,1
175,Nathan Sanchez,Male,Leiden University,Bachelors,3.88,1,MLOps Engineer,NVIDIA,66,51,Rejected,0
176,Austin Morgan,Male,University of Leeds,Masters,2.88,3,AI Ethics & Compliance Officer,NVIDIA,87,68,Selected,1
177,Zachary Morris,Female,Pontifical Catholic University of Chile,Masters,3.24,4,Deep Learning Specialist,NVIDIA,63,63,Selected,1
178,Lauren Wright,Male,Columbia University,Masters,3.96,5,Deep Learning Specialist,NVIDIA,86,76,Rejected,0
179,Ethan Mitchell,Female,University of Southern California,Bachelors,3.95,3,Deep Learning Specialist,NVIDIA,50,95,Rejected,0
180,Christopher Moore,Female,Carnegie Mellon University,Bachelors,2.38,5,AI Product Manager,NVIDIA,75,83,Selected,1
181,Scott Young,Male,Leiden University,Bachelors,2.66,0,MLOps Engineer,NVIDIA,87,85,Rejected,0
182,Ryan Clark,Female,University of New South Wales,Masters,3.85,2,Computer Vision Engineer,NVIDIA,86,45,Selected,1
183,William Taylor,Female,University of Buenos Aires,Bachelors,2.84,0,MLOps Engineer,NVIDIA,72,81,Rejected,0
184,Chloe Nelson,Male,Johns Hopkins University,Masters,3.86,3,Reinforcement Learning Researcher,NVIDIA,73,49,Selected,1
185,Jacob Turner,Male,Georgia Institute of Technology,Bachelors,3.4,5,AI Research Scientist,NVIDIA,58,54,Selected,1
186,Mia Howard,Male,University of Wisconsinâ€“Madison,Masters,3.78,5,Computer Vision Engineer,NVIDIA,53,75,Selected,1
187,Mark White,Female,Columbia University,Masters,3.62,3,Deep Learning Specialist,NVIDIA,90,89,Rejected,0
188,Lucy Hughes,Male,Cornell University,Masters,2.35,2,Deep Learning Specialist,NVIDIA,48,45,Rejected,0
189,Hannah Adams,Female,Sorbonne University,Masters,2.58,5,Computer Vision Engineer,NVIDIA,76,83,Selected,1
190,Lucas Roberts,Female,Ohio State University,Masters,2.92,3,Deep Learning Specialist,NVIDIA,86,55,Selected,1
191,Nora Perry,Female,University of Melbourne,Bachelors,2.87,1,AI Product Manager,NVIDIA,62,48,Rejected,0
192,Olivia Baker,Male,University of Queensland,Masters,3.03,2,Machine Learning Engineer,NVIDIA,60,69,Selected,1
193,James Anderson,Female,University of Adelaide,Bachelors,2.76,4,Computer Vision Engineer,NVIDIA,55,82,Rejected,0
194,Grace Cooper,Female,Polytechnic Institute of Paris,Masters,3.46,1,NLP Engineer (Natural Language Processing),NVIDIA,76,67,Rejected,0
195,Jessica Garcia,Male,University of Queensland,Masters,2.4,3,Reinforcement Learning Researcher,NVIDIA,70,74,Rejected,0
196,Lily Peterson,Female,University of Wisconsinâ€“Madison,Masters,3.67,3,Reinforcement Learning Researcher,NVIDIA,94,49,Selected,1
197,Michelle Lewis,Female,New York University,Masters,2.62,3,Reinforcement Learning Researcher,NVIDIA,57,50,Selected,1
198,Hannah Adams,Female,Michigan State University,Bachelors,2.38,1,AI Ethics & Compliance Officer,NVIDIA,76,68,Rejected,0
199,Daniel Wilson,Male,Pennsylvania State University,Masters,2.89,4,AI Product Manager,NVIDIA,78,83,Selected,1
200,Isaac Parker,Male,University of Amsterdam,Masters,3.87,0,AI Ethics & Compliance Officer,NVIDIA,62,72,Selected,1
201,Hannah Adams,Female,University of Edinburgh,Masters,2.94,0,AI Product Manager,NVIDIA,46,48,Selected,1
202,Mia Howard,Male,University of Birmingham,Bachelors,3.87,5,Reinforcement Learning Researcher,NVIDIA,90,50,Selected,1
203,Samuel Green,Male,Hong Kong University of Science and Technology,Bachelors,3.06,2,AI Ethics & Compliance Officer,NVIDIA,55,68,Rejected,0
204,Penelope Jenkins,Female,University of Michigan,Bachelors,3.84,0,Computer Vision Engineer,NVIDIA,48,61,Rejected,0
205,Abigail Brooks,Female,University of New South Wales,Bachelors,2.31,3,AI Ethics & Compliance Officer,NVIDIA,57,88,Rejected,0
206,Owen Campbell,Male,University of Tokyo,Bachelors,2.96,5,Machine Learning Engineer,NVIDIA,68,75,Selected,1
207,Samuel Green,Male,Massachusetts Institute of Technology,Masters,3.85,5,Computer Vision Engineer,NVIDIA,47,55,Rejected,0
208,Isaac Parker,Female,University of Adelaide,Masters,3.93,1,Data Architect (AI Infrastructure),NVIDIA,69,46,Rejected,0
209,Brandon King,Female,Duke University,Bachelors,2.92,3,Computer Vision Engineer,NVIDIA,66,59,Selected,1
210,Michelle Lewis,Female,University of Paris-Saclay,Bachelors,3,2,Data Architect (AI Infrastructure),NVIDIA,54,46,Selected,1
211,Kyle Reed,Male,Carnegie Mellon University,Bachelors,3.08,4,Data Architect (AI Infrastructure),NVIDIA,75,52,Selected,1
212,Laura Martinez,Male,University of Geneva,Bachelors,2.74,0,MLOps Engineer,NVIDIA,57,68,Selected,1
213,Jason Lewis,Male,University of Vienna,Masters,3.82,4,AI Ethics & Compliance Officer,NVIDIA,48,91,Rejected,0
214,Samantha Green,Female,Cornell University,Bachelors,3.05,3,NLP Engineer (Natural Language Processing),NVIDIA,95,78,Selected,1
215,Scott Young,Male,Polytechnic Institute of Paris,Bachelors,2.61,0,AI Product Manager,NVIDIA,56,78,Rejected,0
216,Audrey Long,Male,Polytechnic Institute of Paris,Masters,3.59,1,Machine Learning Engineer,NVIDIA,56,58,Selected,1
217,Ian Cook,Female,University of California Berkeley,Masters,3.55,2,Data Architect (AI Infrastructure),NVIDIA,71,91,Rejected,0
218,Audrey Long,Female,University of Minnesota,Bachelors,3,1,AI Product Manager,NVIDIA,93,75,Selected,1
219,John Miller,Female,KAIST,Masters,2.58,4,AI Research Scientist,NVIDIA,68,81,Rejected,0
220,Olivia Baker,Male,Johns Hopkins University,Masters,3.51,0,Data Architect (AI Infrastructure),NVIDIA,65,94,Selected,1
221,Steven Harris,Male,University of Waterloo,Bachelors,2.34,1,AI Research Scientist,NVIDIA,79,53,Selected,1
222,Nicholas Wright,Female,University of Queensland,Bachelors,3.24,4,AI Product Manager,NVIDIA,46,46,Selected,1
